tic_id
"TIC 158270568"
"TIC 268160061"
"TIC 14160842"
"TIC 220604190"
"TIC 92300251"
"TIC 144730053"
"TIC 336634601"
"TIC 436478932"
"TIC 21339280"
"TIC 138099276"
"TIC 122784501"
"TIC 243200602"
"TIC 164458488"
"TIC 113329742"
"TIC 270615136"
"TIC 137626872"
"TIC 170867837"
"TIC 146322354"
"TIC 270789362"
"TIC 53498154"
"TIC 123312978"
"TIC 164674711"
"TIC 189625051"
"TIC 299217895"
"TIC 436875934"
"TIC 122713286"
"TIC 369021303"
"TIC 26474039"
"TIC 9155187"
"TIC 63004906"
"TIC 422685031"
"TIC 158923465"
"TIC 219344917"
"TIC 48304653"
"TIC 175402069"
"TIC 120498491"
"TIC 27354139"
"TIC 137906197"
"TIC 158428960"
"TIC 408636441"
"TIC 47976987"
"TIC 272602477"
"TIC 266593143"
"TIC 457134360"
"TIC 35516889"
"TIC 36734222"
"TIC 276754403"
"TIC 101955023"
"TIC 278892590"
"TIC 92226327"
"TIC 69679391"
"TIC 181804752"
"TIC 188570092"
"TIC 254113311"
"TIC 260128333"
"TIC 172370679"
"TIC 390651552"
"TIC 212957629"
"TIC 235683377"
"TIC 232568235"
"TIC 439867639"
"TIC 158025009"
"TIC 142381532"
"TIC 333657795"
"TIC 347332255"
"TIC 275717567"
"TIC 37749396"
"TIC 405717754"
"TIC 301288279"
"TIC 351534793"
"TIC 394172596"
"TIC 272844987"
"TIC 243271945"
"TIC 272183546"
"TIC 350737935"
"TIC 158792743"
"TIC 137968594"
"TIC 399860218"
"TIC 48451491"
"TIC 257429687"
"TIC 264678534"
"TIC 269263934"
"TIC 325254372"
"TIC 382625142"
"TIC 168281028"
"TIC 283722336"
"TIC 60256211"
"TIC 192790476"
"TIC 272083669"
"TIC 343628284"
"TIC 378086008"
"TIC 342041655"
"TIC 250979498"
"TIC 59843967"
"TIC 161687211"
"TIC 169930145"
"TIC 268382450"
"TIC 243271716"
"TIC 158664692"
"TIC 26749051"
"TIC 299799658"
"TIC 329148988"
"TIC 391903064"
"TIC 123359347"
"TIC 8967242"
"TIC 122136712"
"TIC 147670988"
"TIC 123408863"
"TIC 299218775"
"TIC 468350765"
"TIC 233087860"
"TIC 9344899"
"TIC 273866337"
"TIC 138998040"
"TIC 293954617"
"TIC 416267321"
"TIC 120105633"
"TIC 437699592"
"TIC 27913639"
"TIC 130640162"
"TIC 35021200"
"TIC 184015844"
"TIC 457695809"
"TIC 18121498"
"TIC 271881331"
"TIC 443607377"
"TIC 266680498"
"TIC 277869696"
"TIC 296740796"
"TIC 159647213"
"TIC 38114658"
"TIC 239291510"
"TIC 286201103"
"TIC 271671025"
"TIC 120103325"
"TIC 40292751"
"TIC 35857242"
"TIC 346667887"
"TIC 158839841"
"TIC 332024125"
"TIC 123450224"
"TIC 74541369"
"TIC 175371068"
"TIC 26961214"
"TIC 63366281"
"TIC 38337202"
"TIC 11893637"
"TIC 416281317"
"TIC 424867045"
"TIC 79920467"
"TIC 175772482"
"TIC 48506710"
"TIC 158322622"
"TIC 137217372"
"TIC 267746315"
"TIC 1259690584"
"TIC 424864368"
"TIC 27766705"
"TIC 285048486"
"TIC 349520724"
"TIC 271255413"
"TIC 233008631"
"TIC 417659456"
"TIC 176314383"
"TIC 279918915"
"TIC 301609547"
"TIC 159303995"
"TIC 259506033"
"TIC 63203294"
"TIC 297820335"
"TIC 333674399"
"TIC 118608254"
"TIC 139155506"
"TIC 63289452"
"TIC 126325985"
"TIC 381856447"
"TIC 219854185"
"TIC 164671623"
"TIC 43605290"
"TIC 1528696"
"TIC 267570317"
"TIC 364173220"
"TIC 158840828"
"TIC 159098316"
"TIC 365007485"
"TIC 26583108"
"TIC 159450182"
"TIC 158989909"
"TIC 79698690"
"TIC 26584080"
"TIC 394722182"
"TIC 158114249"
"TIC 158722119"
"TIC 299798795"
"TIC 120106432"
"TIC 18942729"
"TIC 274198407"
"TIC 290005350"
"TIC 137342279"
"TIC 268148971"
"TIC 408316773"
"TIC 158936201"
"TIC 407966340"
"TIC 229747848"
"TIC 27767452"
"TIC 184167421"
"TIC 60286662"
"TIC 258202336"
"TIC 371443216"
"TIC 268481319"
"TIC 184427882"
"TIC 453789494"
"TIC 232074535"
"TIC 356000102"
"TIC 121215333"
"TIC 122447994"
"TIC 164892125"
"TIC 399793957"
"TIC 55275863"
"TIC 176956893"
"TIC 136916387"
"TIC 48917782"
"TIC 101145648"
"TIC 234112540"
"TIC 350083732"
"TIC 465390152"
"TIC 27454084"
"TIC 282706928"
"TIC 120961424"
"TIC 36592530"
"TIC 4610441"
"TIC 270468559"
"TIC 429301734"
"TIC 389352124"
"TIC 28357724"
"TIC 158992508"
"TIC 299158887"
"TIC 271262203"
"TIC 138359318"
"TIC 164785720"
"TIC 63001143"
"TIC 137556197"
"TIC 184162776"
"TIC 158665380"
"TIC 271046140"
"TIC 239229234"
"TIC 270863576"
"TIC 279915745"
"TIC 272943597"
"TIC 27006192"
"TIC 299032517"
"TIC 382602147"
"TIC 123235018"
"TIC 26961231"
"TIC 299158566"
"TIC 138890353"
"TIC 275575525"
"TIC 27843776"
"TIC 138297190"
"TIC 267667567"
"TIC 123495874"
"TIC 158664318"
"TIC 123309556"
"TIC 122596693"
"TIC 122441491"
"TIC 95361265"
"TIC 2521105"
"TIC 159444082"
"TIC 267672183"
"TIC 165454978"
"TIC 370736259"
"TIC 138036531"
"TIC 121276933"
"TIC 122780849"
"TIC 137150277"
"TIC 137815803"
"TIC 158489897"
"TIC 123449386"
"TIC 291090078"
"TIC 211439561"
"TIC 120576846"
"TIC 273379660"
"TIC 271433874"
"TIC 158272820"
"TIC 121602473"
"TIC 122712179"
"TIC 243271051"
"TIC 271968263"
"TIC 120105003"
"TIC 121943952"
"TIC 274118253"
"TIC 239285770"
"TIC 271960115"
"TIC 270959279"
"TIC 273130565"
"TIC 405719448"
