tic_id,pl_name,hostname,pl_orbper,pl_trandur,pl_trandep,pl_tranmid,pl_rade,st_rad,ra,dec,sy_dist,sy_tmag
TIC 27649847,TOI-521 b,TOI-521,1.54285047,1.18,0.21544856,2458492.7153,1.98,0.421,123.3442567,12.2221079,60.9425,12.4029
TIC 277634430,TOI-771 b,TOI-771,2.3260155,0.96,0.32797891,2458572.4191,1.36,0.232,164.1138903,-72.9851736,25.2788,12.0874
TIC 281660552,K2-398 b,K2-398,6.393025,3.7,,2457909.0449,2.274,1.239,161.7349738,1.9367044,606.992,12.6036
TIC 296739893,TOI-620 b,TOI-620,5.0988179,1.36,0.393,2458992.19724,3.76,0.55,142.1734459,-12.1671652,33.0231,10.2139
TIC 299028607,Kepler-1563 b,Kepler-1563,3.43276598,4.156,0.00632,2454965.91355,0.75,0.99,288.5735936,51.4727698,616.697,13.0836
TIC 301031110,HATS-50 b,HATS-50,3.8297015,3.0792,1.22998939,2456870.34792,12.66617,1.117,300.4280761,-26.077564,756.742,13.4041
TIC 305048087,TOI-237 c,TOI-237,1.74486147,0.827,0.314,2459540.35059,1.206,0.2056,353.2435381,-29.416487,38.0749,13.4102
TIC 306648160,TOI-3321 b,TOI-3321,3.6525145,4.31,0.966,2458940.81751,15.55806521,1.549,265.7603351,-65.0082516,285.895,10.6651
TIC 310002617,TOI-4087 b,TOI-4087,3.1774835,2.9842,1.1565,2459244.566414,13.04725353,1.112,217.9257785,83.3727061,301.676,11.2961
TIC 31244979,K2-383 b,K2-383,1.865962,1.9632,0.0383,2457302.0928,1.564,0.804,282.008765,-18.3795798,203.788,11.8437
TIC 31374837,TOI-431 b,TOI-431,0.490047,1.0123328,0.029104,2458627.538,1.28,0.731,83.2692502,-26.7238698,32.5686,8.1705
TIC 325682877,TOI-4363 b,TOI-4363,2.11867592279,1.6776084,0.06648121,2459153.80959543,1.76689273,0.69132,37.1105554,-12.5493631,77.7751,11.2473
TIC 335661164,TOI-7008 b,TOI-7008,0.84069041367,1.6702296,0.2554,2459411.69331352,4.94735276,0.95255,216.9882531,79.450396,410.467,12.9055
TIC 341405597,TOI-6699 b,TOI-6699,5.32005926761,2.5453885,0.0955,2459046.64600095,2.32645266,0.75309,317.0695839,-63.2504996,85.8463,10.4012
TIC 342642208,TOI-2158 b,TOI-2158,8.60077,3.77,0.509,2459018.9225,10.76062147,1.41,276.8100527,20.5268868,198.473,10.1669
TIC 348835438,TOI-2669 b,TOI-2669,6.2034,5.715,0.081,2458521.598,19.72780603,4.1,134.7226445,-13.3125792,393.443,9.9917
TIC 349456525,K2-160 b,K2-160,3.705871,,,2457585.66638,3.17824034,0.913754,184.0545174,-3.5530888,315.363,12.0799
TIC 350153977,TOI-908 b,TOI-908,3.183792,2.457,0.08502084,2459384.292,3.186,1.028,53.1594266,-81.250745,175.748,10.6513
TIC 350293646,WASP-84 c,WASP-84,1.4468849,1.111,0.0532,2457952.4543,1.95,0.768,131.1069959,1.8598933,100.588,10.0471
TIC 354469661,HAT-P-60 b,HAT-P-60,4.7947813,5.035,0.6864,2458360.94029,18.28184752,2.197,28.2825719,52.0539209,233.22,9.17925
TIC 35516889,WASP-19 b,WASP-19,0.78883852,1.607,2.077,2456402.7128,15.86070769,1.006,148.4167672,-45.6591078,268.325,11.6044
TIC 355703913,HATS-34 b,HATS-34,2.1061607,1.5552,1.21422239,2456634.85732,16.02887,0.98,0.7744866,-62.4693167,508.842,13.183
TIC 365102760,TIC 365102760 b,TIC 365102760,4.21285367,5.52,,2458684.146,6.21,3.13,305.8398236,54.3943194,555.546,11.3306
TIC 366411016,K2-180 b,K2-180,8.865663,2.8488,0.0987,2457489.1566,2.46597575,0.719,126.4643579,10.246577,203.896,11.8964
TIC 388801714,K2-210 b,K2-210,0.57023,,,2457465.80382,0.86,0.89,17.6412694,1.5784137,176.51,11.0759
